ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado,Antigüedad en días al momento del stro,Codigo de Productor
59220,A,4,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,44,46,3716,87158
39791,G,2,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,47,221,2584,83848
63968,A,4,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,56,226,4021,90026
26766,R,5,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,42,221,2363,7451
63558,A,4,229,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,53,228,3956,82662
31840,L,2,209,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,70,117,2457,83590
35268,A,3,397,CASI,NO,NO,1,PF,ARGENTINA,Masculino,55,75,2688,82748
40618,R,5,238,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,48,105,2898,83469
41147,G,3,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,59,51,2737,86742
38601,L,2,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,63,249,2256,10186
58721,R,5,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,34,225,3402,9839
36591,G,2,239,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,39,221,2548,8988
52551,B,8,378,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,55,130,3245,89972
32853,R,5,229,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,42,130,2380,11915
44984,G,2,231,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,52,130,2080,84605
31162,R,5,231,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,52,130,2273,84605
53220,C,3,374,ANALISIS,NO,NO,0,PF,EXTRANJERO,Masculino,74,228,3186,84475
52548,A,8,378,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,44,221,3081,7825352
48479,B,4,209,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,65,98,2858,83649
58624,A,4,205,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,65,82,3151,87158
60989,R,5,232,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,45,130,3339,86591
59400,A,4,316,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,56,130,3218,1600057
52151,A,3,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Femenino,39,221,2804,7752
46662,L,2,231,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,130,2464,11880
42346,R,5,239,CASI,NO,NO,0,PF,ARGENTINA,Masculino,59,100,2522,9673
62872,R,5,351,CESVI,SI,NO,0,PF,ARGENTINA,Femenino,63,130,3375,86343
39316,L,2,230,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,56,239,2032,83894
64133,A,4,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,35,221,3442,9865
30872,R,5,216,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,83,223,1979,85741
49225,I,6,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,67,224,2702,85785
61056,A,4,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,74,228,3163,83848
35059,R,5,206,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,37,250,2061,87158
58199,T,3,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,32,249,2820,11169
49392,T,7,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,51,2540,86702
35763,G,2,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,130,1822,9348
32920,A,3,230,ANALISIS,NO,NO,1,PF,EXTRANJERO,Masculino,58,226,1833,83963
48990,A,3,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Femenino,63,226,2376,83840
47604,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,45,130,2328,86524
62219,A,4,205,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,38,221,3053,87158
52299,A,4,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,38,130,2637,83640
37325,G,2,218,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,41,130,1896,10771
47796,G,2,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,84,221,2157,83516
33256,R,5,231,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,48,238,1812,84605
43126,T,3,201,CESVI,SI,SI,0,PF,ARGENTINA,Masculino,60,226,2163,12037
40381,G,2,209,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,221,1620,12153
26469,A,3,338,ANALISIS,SI,NO,1,PF,ARGENTINA,Masculino,52,24,1366,83794
29753,L,2,388,CESVI,SI,NO,0,PF,ARGENTINA,Femenino,48,221,1632,82761
34713,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,63,106,1836,7402
