ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado
58221,R,5,216,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,70,238
28616,R,5,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,38,130
50920,A,8,231,ANALISIS,NO,NO,1,PJ,N/A,N/A,,102
40611,R,5,232,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,41,130
38693,R,5,232,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,30
36395,R,5,388,ANALISIS,NO,SI,0,PJ,ARGENTINA,Masculino,76,238
58613,B,4,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,46,221
58662,R,5,218,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,55,221
58663,R,5,218,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,55,221
44261,R,5,230,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,38,221
61502,A,4,216,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,63,130
61765,C,4,244,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,50,228
52937,A,3,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,67,100
52936,B,3,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,67,100
52938,L,2,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,67,100
28478,L,2,232,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,53,130
39095,L,3,209,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,86,223
37526,C,3,205,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,63,0
29472,R,5,101,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,42,221
50130,A,4,218,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,48,100
51766,B,3,351,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,44,58
58963,R,5,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,60,25
29343,A,3,338,ANALISIS,SI,NO,1,PF,ARGENTINA,Masculino,57,150
58921,A,3,216,ANALISIS,NO,NO,0,PF,EXTRANJERO,Masculino,,228
59518,L,2,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,45,221
34138,R,5,367,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,238
63430,L,2,225,ANALISIS,NO,NO,1,PJ,ARGENTINA,Femenino,55,238
48693,R,5,345,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,3
48694,R,5,345,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,3
28559,A,3,232,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,44,228
59220,A,4,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,44,46
39791,G,2,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,47,221
63968,A,4,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,56,226
30170,A,4,374,ANALISIS,NO,NO,1,PJ,ARGENTINA,Masculino,99,226
26766,R,5,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,42,221
63558,A,4,229,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,53,228
33388,L,2,388,ANALISIS,SI,NO,1,PJ,N/A,N/A,,238
31840,L,2,209,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,70,117
35268,A,3,397,CASI,NO,NO,1,PF,ARGENTINA,Masculino,55,75
40618,R,5,238,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,48,105
41147,G,3,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,59,51
30183,R,5,107,PARAMETROS,NO,NO,0,PJ,ARGENTINA,Masculino,65,130
38601,L,2,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,63,249
58721,R,5,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,34,225
58223,R,5,216,PARAMETROS,NO,NO,0,PJ,ARGENTINA,Masculino,67,54
36591,G,2,239,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,39,221
52551,B,8,378,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,55,130
60657,I,4,225,ANALISIS,NO,NO,0,PJ,N/A,N/A,,3
32853,R,5,229,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,42,130
44984,G,2,231,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,52,130
31162,R,5,231,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,52,130
53220,C,3,374,ANALISIS,NO,NO,0,PF,EXTRANJERO,Masculino,,228
52548,A,8,378,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,44,221
48479,B,4,209,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,65,98
58624,A,4,205,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,65,82
60989,R,5,232,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,45,130
59400,A,4,316,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,56,130
39096,G,2,205,ANALISIS,NO,NO,1,PJ,N/A,N/A,,17
52151,A,3,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Femenino,39,221
46662,L,2,231,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,130
49727,R,8,350,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,30
42346,R,5,239,CASI,NO,NO,0,PF,ARGENTINA,Masculino,59,100
62872,R,5,351,CESVI,SI,NO,0,PF,ARGENTINA,Femenino,63,130
39316,L,2,230,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,56,239
64133,A,4,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,35,221
30872,R,5,216,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,100,223
58850,I,8,231,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,35
36265,R,5,231,ANALISIS,NO,NO,0,PJ,N/A,N/A,,91
49225,I,6,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,67,224
31006,R,5,216,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,62
61056,A,4,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,74,228
58622,R,5,216,ANALISIS,NO,SI,0,PJ,ARGENTINA,Masculino,,130
38413,R,5,239,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,45,213
35059,R,5,206,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,37,250
58199,T,3,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,32,249
25688,R,5,216,ANALISIS,NO,NO,0,PJ,N/A,N/A,,117
40692,R,5,238,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,105
49392,T,7,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,51
35763,G,2,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,130
32920,A,3,230,ANALISIS,NO,NO,1,PF,EXTRANJERO,Masculino,,226
48990,A,3,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Femenino,63,226
47604,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,45,130
62219,A,4,205,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,38,221
52299,A,4,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,38,130
37325,G,2,218,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,41,130
47796,G,2,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,84,221
62422,I,3,231,ANALISIS,NO,NO,0,PJ,N/A,N/A,,5
33256,R,5,231,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,48,238
43126,T,3,201,CESVI,SI,SI,0,PF,ARGENTINA,Masculino,60,226
40381,G,2,209,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,47,221
26469,A,3,338,ANALISIS,SI,NO,1,PF,ARGENTINA,Masculino,52,24
29753,L,2,388,CESVI,SI,NO,0,PF,ARGENTINA,Femenino,48,221
34713,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,63,106
41150,L,2,205,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,45,221
60505,C,3,209,ANALISIS,NO,NO,1,PJ,ARGENTINA,Masculino,63,238
44086,R,5,232,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,47,221
63963,R,5,231,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,47,130
59947,A,8,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,28,221
28159,R,5,234,CHECKLIST,NO,NO,0,PF,ARGENTINA,Masculino,74,130
38215,A,4,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,41,221
33836,A,4,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,41,221
61763,I,6,230,PARAMETROS,NO,SI,0,PJ,N/A,N/A,,238
64268,A,4,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,42,130
34823,I,3,209,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,60,130
34332,G,3,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,55,221
49256,B,4,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,45,223
28506,A,3,338,CHECKLIST,NO,NO,1,PF,ARGENTINA,Masculino,32,130
30529,L,2,205,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,65,234
45637,R,5,220,CESVI,SI,NO,0,PF,ARGENTINA,Femenino,44,130
34874,R,5,225,PARAMETROS,NO,NO,0,PJ,ARGENTINA,Masculino,57,238
60014,A,4,240,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,70,130
26191,I,7,316,ANALISIS,SI,NO,0,PF,ARGENTINA,Femenino,39,130
60478,A,3,218,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,52,221
38418,R,5,230,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,48,130
52638,A,3,231,ANALISIS,NO,NO,0,PJ,N/A,N/A,,238
52435,R,5,230,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Femenino,45,51
41479,L,2,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,48,130
36590,R,5,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,47,130
43151,R,5,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,99,247
26843,R,5,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,38,130
38602,G,2,218,ANALISIS,NO,SI,0,PF,ARGENTINA,Femenino,52,226
61627,I,5,388,PARAMETROS,NO,NO,0,PJ,N/A,N/A,,213
28961,T,8,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,57,130
35804,R,5,239,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,42,130
27423,R,5,229,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,41,40
64148,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,37,130
